episode,total_reward,steps,epsilon,mean_step_reward,timestamp,current_lr,performance_level,improvement_rate
1,-33729.959788616194,1000,0.00998645168764533,-33.729959788616185,2025-09-02T17:40:48.843002,0.0001,unknown,0
2,-35480.73256367191,1000,0.00998645168764533,-35.48073256367186,2025-09-02T17:41:46.803328,0.0001,unknown,0
3,-26273.018112271195,1000,0.00998645168764533,-26.27301811227118,2025-09-02T17:42:45.727536,0.0001,unknown,0
4,-30911.44408829441,1000,0.00998645168764533,-30.911444088294402,2025-09-02T17:43:44.719423,0.0001,unknown,0
5,-35079.38567738272,1000,0.00998645168764533,-35.07938567738269,2025-09-02T17:44:43.973836,0.0001,unknown,0
