step,loss
0,0.2059207409620285
1,0.18875238299369812
2,0.19352483749389648
3,0.1893404722213745
4,0.1722714602947235
5,0.12920641899108887
6,0.16332653164863586
7,0.1565863937139511
8,0.15407146513462067
9,0.10658517479896545
10,0.11509287357330322
11,0.11689591407775879
12,0.11472934484481812
13,0.08309663832187653
14,0.08748509734869003
15,0.07978828251361847
16,0.061646752059459686
17,0.062480393797159195
18,0.07749027013778687
19,0.0897689014673233
20,0.06696392595767975
21,0.1020248755812645
22,0.10947498679161072
23,0.08891579508781433
24,0.12393748015165329
25,0.08601584285497665
26,0.11866604536771774
27,0.04866626486182213
28,0.21329988539218903
29,0.44597697257995605
30,0.35734596848487854
31,0.18094633519649506
32,0.47338148951530457
33,0.4796352684497833
34,0.14831042289733887
35,0.22929181158542633
36,0.13131429255008698
37,0.4469972252845764
38,0.14111283421516418
39,0.12719276547431946
40,0.13334272801876068
41,0.07447218149900436
42,0.0653633326292038
43,0.4450721740722656
44,0.4378315806388855
45,0.4259774088859558
46,0.09013714641332626
47,0.12633275985717773
48,0.42441144585609436
49,0.26110517978668213
50,0.20728354156017303
51,0.39293426275253296
52,0.28048813343048096
53,0.19803448021411896
54,0.09181083738803864
55,0.38293692469596863
56,0.16365349292755127
57,0.6547266244888306
58,0.4586934745311737
59,0.5935611724853516
60,0.6076743006706238
61,0.6397867798805237
62,0.44999316334724426
63,0.5261683464050293
64,0.47530990839004517
65,0.5041197538375854
66,0.3824450671672821
67,0.678117573261261
68,0.19739457964897156
69,0.5330794453620911
70,0.1983560174703598
71,0.7967414259910583
72,0.960435688495636
73,0.3384707272052765
74,1.6661415100097656
75,0.3715270161628723
76,0.7170830965042114
77,0.671273946762085
78,0.7927364110946655
79,1.772574543952942
80,0.45740097761154175
81,0.7452710866928101
82,0.42324045300483704
83,0.5873944759368896
84,0.4800151288509369
85,1.8798532485961914
86,0.509326696395874
87,0.6895226240158081
88,0.6529825925827026
89,0.7324017286300659
90,2.1374402046203613
91,0.16394124925136566
92,1.7654709815979004
93,2.0936810970306396
94,0.5864693522453308
