episode,total_reward,steps,epsilon,mean_step_reward,timestamp,current_lr
1,-26703.199999999993,1000,0.995,-26.703199999999995,2025-09-09T19:35:16.741128,0.0001
2,-165164.19999999972,1000,0.990025,-165.16420000000002,2025-09-09T19:35:51.939979,0.0001
3,-41226.39999999998,1000,0.985074875,-41.2264,2025-09-09T19:36:17.421997,0.0001
4,-26062.799999999996,1000,0.9801495006250001,-26.0628,2025-09-09T19:36:47.428639,0.0001
5,-28968.300000000003,1000,0.9752487531218751,-28.9683,2025-09-09T19:37:14.067696,0.0001
6,-36399.70000000001,1000,0.9703725093562657,-36.399699999999996,2025-09-09T19:37:40.055539,0.0001
7,-19928.999999999985,1000,0.9655206468094844,-19.929,2025-09-09T19:38:04.572425,0.0001
8,-27377.199999999946,1000,0.960693043575437,-27.377200000000006,2025-09-09T19:38:32.729941,0.0001
9,-137158.79999999952,1000,0.9558895783575597,-137.1588,2025-09-09T19:39:11.356173,0.0001
10,-110593.69999999992,1000,0.9511101304657719,-110.59370000000001,2025-09-09T19:39:46.025167,0.0001
11,-17547.599999999995,1000,0.946354579813443,-17.5476,2025-09-09T19:40:10.350448,0.0001
12,-110605.19999999998,1000,0.9416228069143757,-110.6052,2025-09-09T19:40:43.237263,0.0001
13,-24838.000000000004,1000,0.9369146928798039,-24.838,2025-09-09T19:41:10.370583,0.0001
14,-15576.699999999973,1000,0.9322301194154049,-15.5767,2025-09-09T19:41:37.927889,0.0001
15,-20319.100000000002,1000,0.9275689688183278,-20.3191,2025-09-09T19:42:02.283437,0.0001
16,-151813.99999999997,1000,0.9229311239742362,-151.814,2025-09-09T19:42:36.324232,0.0001
17,-157131.89999999906,1000,0.918316468354365,-157.1319,2025-09-09T19:43:12.272805,0.0001
18,-122834.50000000004,1000,0.9137248860125932,-122.8345,2025-09-09T19:43:50.980859,0.0001
19,-110744.6000000001,1000,0.9091562615825302,-110.74459999999999,2025-09-09T19:44:21.274323,0.0001
20,-18524.600000000006,1000,0.9046104802746175,-18.524600000000003,2025-09-09T19:44:46.841948,0.0001
21,-205898.0000000005,1000,0.9000874278732445,-205.898,2025-09-09T19:45:25.270640,0.0001
22,-120535.4000000001,1000,0.8955869907338783,-120.53540000000002,2025-09-09T19:46:03.314668,0.0001
23,-50568.4999999995,1000,0.8911090557802088,-50.568499999999986,2025-09-09T19:46:36.587129,0.0001
24,-25711.599999999962,1000,0.8866535105013078,-25.711599999999997,2025-09-09T19:47:06.019900,0.0001
